 5020.459  4974.747  18.2093  1.0959    8.48   0.14   2.76   0.02   0.70    -3    12.37   0.28   3.22   0.03
 2205.378  7026.108  19.1389   0.945    1.94   0.25   5.15   0.28   0.48   -18     1.31   0.11   4.52   0.18
 5498.558  6820.669   19.471  0.9177    0.78   0.01   2.51   0.02   0.36     9     0.65   0.01   2.01   0.01
 8354.153  5908.124  19.6411  1.0035    1.31   0.03   5.67   0.07   0.48   -20     2.37   0.32   7.29   0.35
 4872.748   5174.03  19.7712  0.9657    0.48   0.01   3.49   0.05   0.46   -48     0.41   0.01   3.12   0.05
 4753.194   639.869  19.8707  0.8112    0.66   0.01   3.65   0.04   0.37    82     0.56   0.01   3.01   0.05
 3918.112  6831.268  20.0228  0.9745    0.41   0.01   2.52   0.02   0.80    16     0.38   0.01   2.29   0.02
 3513.239  4644.539  20.0642  0.9215    1.02   0.04   6.56   0.11   0.74   -24     0.55   0.02   4.56   0.08
 4872.892  4761.314  20.0873   0.943    0.49   0.01   4.54   0.06   0.98   -46     0.37   0.01   3.65   0.05
 4895.512  3951.785  20.1096  0.8557    0.42   0.01   4.70   0.05   0.36    51     0.38   0.01   3.81   0.04
 4305.761  5483.746  20.1387  0.7926    1.50   0.03   2.22   0.04   0.61   -64     1.23   0.01   0.98   0.01
 5007.631    7787.5  20.1539  0.9882    0.34   0.01   4.78   0.05   0.82   -59     0.26   0.01   3.89   0.04
 7438.917  8001.017  20.3298  0.8601    0.47   0.07   6.66   0.56   0.63    86     0.46   0.06   7.29   0.57
 5475.955  9149.877  20.3513  0.9145    0.53   0.01   3.75   0.04   0.53   -57     0.57   0.21   3.72   1.00
 1906.717  3762.597  20.3727  0.9042    0.53   0.01   2.87   0.03   0.37   -29     0.47   0.01   2.74   0.07
 5781.892  5185.808  20.4879  0.9507    1.39   0.29   8.78   0.68   0.53   -33     0.50   0.03   4.92   0.21
 2278.567  4963.485  20.5087  0.8938    2.59   0.28   8.92   0.28   0.90    67     1.73   0.18   8.32   0.30
 4914.199  1792.021  20.5208  0.9342    0.31   0.01   4.61   0.06   0.80    47     0.24   0.01   3.81   0.05
 5798.582  2201.887  20.5283  0.9061    2.33   0.19   5.60   0.14   0.79   -12     1.35   0.08   4.63   0.12
 3456.299  7575.675  20.5404  0.9151    1.54   0.11   6.19   0.19   0.56   -76     0.97   0.07   3.95   0.16
 1387.952  4585.275  20.5915  0.8298    0.56   0.02   6.21   0.12   0.44   -25     0.39   0.02   4.98   0.22
 4389.446  3700.659  20.6365  0.9908    0.38   0.03   6.58   0.30   0.54    -2     0.23   0.01   4.19   0.20
 3815.107  5200.636  20.6532  0.9201    0.31   0.01   3.60   0.05   0.95   -67     0.27   0.01   3.09   0.06
 6629.986  2702.444  20.7397  0.9417    0.17   0.01   3.30   0.03   0.62    12     0.16   0.01   2.53   0.03
 6924.901  7478.526  20.7684  0.9348    0.21   0.01   2.97   0.03   0.88   -66     0.18   0.01   2.51   0.03
