 7779.476  4484.333   18.5813    0.8547    0.58   0.01   3.13   0.01   0.80    -9     0.69   0.01    3.20   0.01
 3527.416  3293.958   18.8063    0.9091    0.55   0.01   3.75   0.02   0.92   -51     0.61   0.01    3.58   0.02
 5142.771  7964.634   19.0425    0.8608    1.38   0.02   4.30   0.03   0.56   -22     1.61   0.02    4.14   0.03
 6198.437   4852.93   19.0577    0.7908    0.56   0.01   3.18   0.01   0.81    66     0.64   0.01    3.37   0.02
 4747.678  2720.058   19.3506    0.8298    1.02   0.02   4.89   0.04   0.62   -26     1.29   0.03    5.38   0.05
 5162.454  4639.065   19.3545    0.8469    0.53   0.01   4.60   0.03   0.85     8     0.66   0.01    4.90   0.05
 5494.493  6943.073   19.4288    0.8691    0.39   0.01   3.19   0.01   0.48   -86     0.41   0.01    3.07   0.02
  826.506  5504.654   19.5691    0.8186    0.75   0.02   4.99   0.05   0.71    54     0.80   0.04    5.01   0.14
 4400.064  4310.839   19.6067    0.8282    0.49   0.01   2.59   0.01   0.93    88     0.58   0.01    2.85   0.02
 3544.884  5684.177   19.6477    0.8592    0.62   0.01   4.19   0.03   0.69    26     0.79   0.01    4.32   0.04
 2660.348   3475.23   19.6599    0.8413    0.80   0.01   2.57   0.01   0.45    -1     0.96   0.01    2.88   0.02
   7606.3   3236.64   19.6602    0.8258    0.54   0.01   3.52   0.02   0.71   -11     0.73   0.01    3.79   0.03
 5141.477  5322.633   19.6965    0.8592    0.23   0.01   2.77   0.02   0.66    33     0.28   0.01    3.06   0.03
 2875.977  3241.295   19.7619    0.7912    0.62   0.01   5.36   0.06   0.77   -87     0.65   0.01    5.03   0.06
 7777.463  2673.107    19.772    0.8581    0.52   0.01   2.50   0.02   0.66   -60     0.66   0.04    2.60   0.13
 3357.686  5660.594   19.7992    0.8211    0.40   0.01   6.32   0.07   0.77    57     0.60   0.02    6.98   0.10
 6074.937  6784.231   19.9517    0.7946    0.69   0.01   3.22   0.03   0.49   -78     0.84   0.01    3.55   0.04
 3307.745  6331.051   20.0004    0.8096    0.35   0.01   4.46   0.05   0.43    12     0.50   0.03    5.38   0.23
 3863.033  3812.143   20.0025    0.8879    0.22   0.01   4.45   0.03   0.76    -9     0.33   0.01    5.13   0.07
 5175.446  5812.951   20.0318    0.8965    0.21   0.01   3.29   0.02   0.53    53     0.25   0.01    3.65   0.03
 4337.443  4125.955   20.0319    0.8822    0.21   0.01   3.36   0.02   0.95   -81     0.26   0.01    3.70   0.03
 5464.934  5661.681   20.0342    0.8496    0.34   0.01   3.95   0.03   0.61    57     0.49   0.01    4.59   0.06
 2718.285  1507.213   20.0866    0.8276    1.56   0.08   6.74   0.13   0.74   -68    -9.99  -9.99   -9.99  -9.99
 3356.886  4885.312   20.0901    0.8584    0.40   0.01   4.34   0.04   0.90   -27     0.53   0.01    4.49   0.06
  401.338  5806.922   20.0932     0.696    1.03   0.01   0.82   0.02   0.27    28     1.11   0.01    0.58   0.01
 2925.201  1563.468   20.1446    0.7667    1.26   0.04   5.09   0.08   0.79   -52     4.50   0.90    5.91   0.33
   646.24  4429.551   20.2261    0.7887    0.51   0.01   1.69   0.01   0.43   -20     0.52   0.01    1.39   0.02
 1864.819  1495.466   20.2486    0.9242    0.54   0.01   2.30   0.02   0.70    34     0.82   0.04    2.62   0.09
 7101.946  7481.029   20.2591    0.8258    0.29   0.01   3.20   0.03   0.35    31     0.31   0.02    3.14   0.23
 7397.073  5640.829   20.2692    0.8374    0.25   0.01   2.96   0.02   0.90    24     0.30   0.01    2.88   0.02
 1845.102  3070.047   20.3399    0.8044    0.32   0.01   3.22   0.02   0.75    36     0.38   0.01    3.18   0.03
 5667.768  5128.059   20.3902    0.7582    1.44   0.06   5.92   0.10   0.68    29     2.63   0.19    7.55   0.18
  4676.75  1884.283    20.431    0.7254    0.55   0.02   5.47   0.11   0.68    53     1.38   0.11    7.91   0.22
   958.79  3940.267   20.4363    0.7735    0.44   0.01   3.75   0.05   0.71   -63     0.50   0.01    3.87   0.07
 2860.845  3933.473   20.4425    0.8371    0.35   0.01   2.98   0.02   0.50    -2     0.38   0.01    2.98   0.03
 5945.664  6154.591   20.4686    0.7844    0.43   0.01   3.85   0.05   0.53    17     0.43   0.01    3.85   0.04
 5597.392   4933.16   20.4995     0.884    0.24   0.01   3.16   0.02   0.43   -64     0.27   0.01    2.77   0.02
  5844.25  7902.852   20.5331    0.7722    0.73   0.01   3.35   0.04   0.24   -27     0.86   0.02    3.54   0.05 
 4720.657  4459.847   20.5627    0.8376    0.14   0.01   3.26   0.04   0.87   -84     0.16   0.01    3.94   0.06
 6260.359  3100.683   20.5905    0.7115    1.28   0.10   8.91   0.24   0.76    86     1.93   0.20    9.22   0.29
  5746.65  4597.874   20.5943    0.8245    0.28   0.01   3.18   0.02   0.42    68     0.30   0.01    3.06   0.04
 5805.375  4891.213   20.6132    0.8458    0.26   0.01   2.74   0.02   0.51   -11     0.29   0.01    2.79   0.03
 5067.418   4308.93   20.6427     0.788    0.13   0.01   2.35   0.05   0.94    17     0.13   0.01    2.34   0.08
 7180.217  6420.215   20.6452    0.6323    0.84   0.02   2.45   0.03   0.29   -62     1.22   0.03    2.09   0.04
 5538.635  6202.316   20.6647    0.7672    1.35   0.11   8.87   0.25   0.66   -30     1.95   0.30    8.79   0.43
 2970.151  2675.542   20.6845      0.77    0.58   0.02   5.04   0.11   0.82   -42     0.87   0.06    5.85   0.18
 3122.324  3804.235   20.7017    0.7756    0.52   0.01   3.51   0.06   0.83   -88     0.52   0.02    3.17   0.06
