 936.0  1128.2  20.57  1.53   0.84  0.09  0.7  0.2  0.76  0    1.66  0.39  9.0  0.7 
1050.6   538.7  20.94  1.22   0.26  0.02  2.2  0.5  0.54 -77   0.38  0.01  0.3  0.05
 937.4  1811.1  20.99  0.94   0.34  0.01  1.2  0.1  0.80 -82   0.51  0.01  1.5  0.03
 971.5  1711.5  21.01  1.03   0.73  0.01  0.4  0.02 0.61  83   0.80  0.01  0.3  0.01
1092.3   975.7  21.02  1.14   0.16  0.01  2.1  0.1  0.70  27   0.24  0.01  1.9  0.04
 905.1  1066.5  21.03  1.10   0.24  0.01  2.0  0.1  0.19  -4   0.31  0.01  2.0  0.04
 949.0  1127.6  21.09  1.27   0.47  0.16  0.6  0.4  0.87 -38   0.27  0.01  2.5  0.1
1042.0   581.8  21.10  1.71   0.29  0.01  2.6  0.3  0.79  63   0.59  0.09  3.7  0.3
 801.2  1552.5  21.12  1.22   0.52  0.02  1.7  0.1  0.19  84   0.72  0.02  1.4  0.1
 941.0  1640.2  21.13  1.20   0.20  0.01  3.5  0.1  0.91  21   0.24  0.01  1.9  0.1
1164.4   941.6  21.13  1.22   0.49  0.01  2.7  0.1  0.49 -36   3.32  0.89  5.9  0.5
 854.8  1195.3  21.13  1.10   0.18  0.01  2.4  0.1  0.84  27   0.42  0.04  5.6  0.3
1437.0   672.9  21.30  0.91   0.17  0.01  3.6  0.2  0.47  81   0.62  0.10  9.1  0.7
 821.9  1215.9  21.33  1.36   0.38  0.03  0.4  0.1  0.85  75   0.51  0.01  0.2  0.01
 854.2  1944.3  21.48  1.03   0.18  0.01  2.4  0.1  0.84  26   0.43  0.04  5.6  0.3
 824.0  1109.1  21.62  1.24   0.08  0.01  2.8  0.3  0.86  19   0.13  0.01  3.1  0.5
1134.1   344.5  21.63  1.23   0.28  0.02  6.3  0.4  0.83  -9   0.48  0.07  5.3  0.4
1506.5  1496.8  21.65  1.09   0.11  0.01  2.8  0.2  0.88  43   0.23  0.05  8.0  1.1
1091.9  1147.3  21.70  1.08   0.64  0.01  0.5  0.1  0.45 -16   0.65  0.02  0.2  0.1
1378.2  1288.8  21.96  1.24   0.40  0.01  0.6  0.03 0.52 -48   0.43  0.01  0.3  0.02
 435.5  1280.1  22.08  1.46   0.09  0.01  2.3  0.1  0.66  59   0.14  0.02  7.3  1.0
 774.8  1585.1  22.09  1.40   0.17  0.01  1.4  0.3  0.39 -15   0.39  0.03  1.5  0.2
1324.0   358.5  22.10  0.99   0.06  0.01  3.4  0.3  0.66  37   0.08  0.01  3.9  0.3
 302.8  1032.0  22.25  1.98   0.09  0.01  3.6  0.3  0.65  58   0.12  0.02  4.8  0.9
 864.4  1312.0  22.13  1.27   1.25  0.47  8.5  1.5  0.38  47   0.24  0.01  0.8  0.1
 866.6  1191.3  22.15  1.40   0.20  0.01  1.2  0.2  0.92 -74   0.29  0.02  0.9  0.02
 768.9  1577.1  22.15  1.22   0.08  0.01  2.4  0.6  0.80  23   0.11  0.01  3.1  0.2
 782.6  1771.0  22.25  0.99   0.48  0.01  0.5  0.03 0.57  72   0.58  0.01  0.2  0.02
 910.9  1115.9  22.37  0.87   0.30  0.04  2.5  0.7  0.08   9   0.28  0.03  2.5  0.2
1605.9   790.5  22.43  0.90   0.08  0.01  2.8  0.3  0.50 -39   0.10  0.01  3.4  0.3
 705.5  1530.1  22.45  1.10   0.14  0.01  2.3  0.3  0.43  45   0.16  0.01  2.9  0.3
 734.8  1221.7  22.50  1.16   0.08  0.01  1.6  0.9  0.89 -42   0.17  0.03  4.0  0.7
