877.2   834.5   19.5368   21.0652   1.86   1.01   8.3   1.7   0.75   -45   2.29   0.12   
893.6   878.1   19.9886   21.4648   0.13   0.01   2.4   0.4   0.9   -71   0.25   0.03   
937.3   865.8   19.9923   22.9166   0.21   0.01   2.1   0.3   0.79   50   0.48   0.06   
856.5   828.8   20.2532   21.6561   0.25   0.03   4.3   0.8   0.27   42   0.41   0.05   
974.3   1002.7   20.2706   21.4895   0.25   0.03   4.3   0.3   0.99   -18   0.3   0.01   
1478.6   557.   20.4043   21.7134   0.29   0.01   3.1   0.1   0.52   19   0.28   0.01   
1623.1   823.8   20.6257   21.7342   0.16   0.02   3.3   0.1   0.39   66   0.11   0.01   
755.8   1033.4   20.6317   21.8187   0.23   0.01   2.9   0.1   0.25   -23   0.4   0.02   
227.8   939.4   20.9047   21.9791   0.24   0.01   4.1   0.2   0.37   -30   0.2   0.01   
305.9   1147.4   20.9384   22.0559   0.12   0.01   2.1   0.2   0.8   43   0.11   0.01   
967.2   997.9   20.9704   22.2417   0.17   0.01   2.   0.2   0.29   52   0.28   0.03   
768.9   439.5   20.9917   21.9614   0.27   0.01   3.   0.1   0.52   81   0.89   0.16   
895.7   920.6   21.2043   22.6348   0.11   0.01   1.8   0.8   0.81   -6   0.07   0.09   
1050.4   927.   21.2639   22.3784   0.22   0.01   5.   0.4   0.63   -1   0.83   0.34   
380.1   1335.3   21.2828   22.3737   0.16   0.01   2.   0.2   0.46   68   0.19   0.02   
586.   844.8   21.2899   22.4101   0.38   0.01   1.5   0.1   0.28   67   0.51   0.01   
842.5   860.7   21.3244   22.8591   0.14   0.01   1.2   0.5   0.63   38   0.14   0.01   
810.5   867.1   21.3581   22.504   0.12   0.01   2.6   0.8   0.76   29   0.15   0.01   
1149.6   1007.3   21.4246   22.5267   0.13   0.02   3.1   0.1   0.4   -88   0.19   0.02   
887.1   349.2   21.4361   22.4763   0.34   0.01   2.5   0.1   0.17   28   1.04   0.17   
1140.   534.3   21.437   22.4434   0.17   0.01   1.3   0.1   0.15   64   0.15   0.01   
1044.6   1277.9   21.481   22.4236   0.11   0.01   1.5   0.5   0.47   -31   0.09   0.01   
1086.5   1449.6   21.4951   22.354   0.18   0.01   4.   0.7   0.51   4   0.04   0.01   
1278.1   1391.9   21.5493   22.7402   0.55   0.01   0.5   0.1   0.23   61   0.65   0.01   
1021.8   828.3   21.5614   22.7186   0.25   0.01   2.4   0.1   0.58   49   0.36   0.03   
1005.   1227.5   21.5749   22.5384   0.09   0.02   2.2   2.2   0.52   51   0.05   0.01   
1209.5   1406.2   21.5754   22.6412   0.22   0.01   3.1   0.2   0.16   19   0.24   0.02   
672.9   1586.2   21.5789   22.904   0.17   0.01   1.9   0.1   0.7   -52   0.21   0.01   
1693.   1077.   21.5975   22.5548   0.2   0.01   2.   0.2   0.97   -65   0.3   0.04   
877.3   1177.5   21.7169   22.671   0.2   0.01   1.5   0.1   0.44   26   0.21   0.05   
528.5   679.7   21.746   22.7162   0.19   0.01   1.5   0.1   0.21   -58   0.21   0.01   
1131.1   1218.9   21.7505   22.8087   0.15   0.01   2.2   0.1   0.88   0   0.33   0.07   
793.1   1027.3   21.883   22.8472   0.17   0.01   1.8   0.4   0.36   54   0.26   0.03   
724.4   1323.1   22.0294   23.1772   0.11   0.01   1.2   0.2   0.39   -16   0.11   0.01   
1153.9   1111.3   22.0564   23.1086   0.2   0.01   4.2   0.8   0.92   18   0.22   0.01   
332.8   1052.7   22.0571   23.8731   0.41   0.01   1.3   0.1   0.74   -12   0.24   0.01   
1431.4   817.3   22.0574   22.9727   0.31   0.01   4.   0.3   0.67   -34   1.08   0.5   
649.8   1637.2   22.1331   23.0134   0.25   0.01   1.6   0.2   0.31   -23   0.35   0.01   
416.1   651.4   22.1689   23.284   0.11   0.01   3.3   0.2   0.41   -43   0.1   0.01   
1272.4   856.6   22.1894   23.1337   0.2   0.01   1.4   0.1   0.57   -74   0.3   0.02   
335.6   901.1   22.2116   23.1789   0.14   0.01   1.7   0.1   0.6   49   0.18   0.01   
1037.8   1290.   22.2583   23.3035   0.11   0.01   1.2   0.8   0.67   45   0.21   0.05   
916.8   1042.   22.2655   23.3563   0.12   0.01   0.9   0.3   0.6   38   0.14   0.01   
464.3   1033.8   22.3264   23.3425   0.19   0.01   1.   0.1   0.28   34   0.19   0.01   
576.6   605.6   22.3415   23.2623   0.29   0.01   1.4   0.1   0.32   49   0.37   0.02   
1238.6   908.1   22.3918   23.321   0.14   0.01   1.   0.1   0.3   27   0.16   0.01   
816.   962.3   22.4287   23.4573   0.12   0.02   0.9   0.6   0.29   18   0.27   0.07   
1575.1   457.7   22.5482   24.1686   0.32   0.02   6.2   0.7   0.72   -59   0.26   0.08   
1060.1   1361.2   22.6093   23.6841   0.11   0.01   1.2   0.2   0.5   60   0.07   0.01   
480.6   787.9   22.7079   23.8124   0.17   0.01   0.7   0.1   0.44   10   0.18   0.01   
397.4   1015.6   22.7365   23.6886   0.11   0.01   1.4   0.1   0.58   24   0.15   0.03   
512.1   828.8   22.7884   23.6722   0.83   0.03   1.1   0.1   0.11   80   0.88   0.02   
973.3   813.4   22.8443   24.0088   0.15   0.01   1.5   0.7   0.57   -86   0.17   0.02   
819.4   1499.4   22.8475   24.0316   0.32   0.02   0.5   0.2   0.31   42   0.4   0.02   
