1132.5    994.6    19.62  1.77  2.8  1.1  8.3  1.2  0.74  69   1.5  0.1  7.2  0.2   00291
1114.1   1000.7    19.73  1.69  0.9  0.1  2.6  0.2  0.85  63   1.6  0.2  5.4  0.2   00289
1605.4    842.6    19.92  1.59  0.24 0.01 3.6  0.2  0.51 -54   0.41 0.01 4.3  0.1   00247
1189.2    985.9    20.33  1.95  0.22 0.01 3.4  0.3  0.42 -48   0.52 0.01 5.2  0.1   00304
1436.4    978.8    20.89  1.59  0.19 0.01 3.0  0.1  0.45  53   0.64 0.07 8.5  0.4   00294
1015.5   1005.0    20.92  1.75  0.29 0.01 4.5  0.3  0.74  68   0.70 0.04 4.9  0.2   00313
1425.8    991.7    20.95  1.70  0.32 0.01 5.6  0.3  0.75 -87   1.61 0.37 8.9  0.7   00310
1412.8    487.2    21.13  1.62  0.53 0.03 5.2  0.5  0.43  39   4.09 0.88 6.1  0.4   00147
1130.9    928.6    21.18  1.72  0.18 0.01 1.9  0.3  0.66 -13   0.34 0.02 3.6  0.2   00282
1201.6   1080.8    21.43  1.56  0.10 0.01 3.5  0.3  0.91  50   0.23 0.04 3.6  0.6   00338
1484.8    678.3    21.46  1.59  0.32 0.01 3.2  0.1  0.67 -33   1.17 0.21 6.3  0.5   00205
 664.0    858.8    21.53  1.41  0.11 0.01 4.1  0.4  0.53 -46   0.33 0.03 8.5  0.5   00265
1445.1    969.7    21.75  1.57  0.18 0.02 4.6  0.4  0.61  33   0.25 0.02 5.8  0.4   00294
1585.7    817.7    21.89  1.70  0.10 0.03 1.1  1.6  0.62  84   0.11 0.02 1.5  0.8   00247
1038.1   1937.1    21.85  2.25  0.10 0.03 1.1  1.6  0.62  84   0.11 0.02 1.5  0.8   36
 582.9   1394.8    21.97  1.65  0.08 0.01 5.5  0.6  0.96  25   0.13 0.01 5.4  0.0   0
1070.1   1007.9    22.23  2.18  0.08 0.01 1.1  1.6  0.37   5   0.12 0.01 3.3  0.5   00289
1147.4    944.5    22.32  1.65  0.11 0.01 0.9  0.5  0.40 -78   0.13 0.01 1.3  0.3   00282
1425.7    901.7    22.44  1.19  0.46 0.02 2.7  0.2  0.39  45   0.69 0.03 1.8  0.1   9 
 757.0   1536.1    22.59  1.40  0.13 0.01 1.8  0.2  0.80  50   0.19 0.01 2.9  0.3   9
1096.0    827.9    22.73  1.42  0.24 0.01 2.0  0.2  0.59  64   0.38 0.02 2.3  0.1   9 
1176.6   1055.4    22.75  1.65  0.07 0.01 0.06 0.01 0.29 -13   0.07 0.01 2.4  0.8   0338
1256.4   1106.9    22.77  1.49  0.14 0.01 1.9  0.3  0.42  28   0.29 0.03 5.9  0.5   22
