 5001.006   5001.481    17.835   1.1754	   9.70   0.20   3.31   0.03   0.73   37   10.36   0.12   3.42   0.02
 3620.404    3363.04     18.39   1.1596    1.85   0.01   3.23   0.01   0.96   40    1.41   0.01   2.74   0.01
 3560.496   5643.075   18.6355    1.066    1.03   0.01   5.91   0.03   0.76  -47    0.52   0.01   3.51   0.79
 6110.091   4932.229    18.861   1.1601	   0.75   0.01   2.54   0.01   0.82  -67    0.81   0.01   2.56   0.01
 3507.928   5246.958   18.9168   1.1524	   1.05   0.01   2.79   0.01   0.26   46    0.96   0.01   2.27   0.01
 3375.433   7322.101   18.9205   1.1779    1.76   0.04   6.08   0.05   0.70   -7   -9.99  -9.99  -9.99  -9.99
 3064.439   6413.729   19.0128   1.2087    1.93   0.05   7.15   0.06   0.87  -31    2.36   0.07   7.19   0.07
 2790.526   3879.382   19.1046   1.2106    0.86   0.01   4.00   0.02   0.74   63    1.17   0.02   4.36   0.03
 6521.059   4695.603   19.2919   1.1629    0.67   0.01   7.52   0.07   0.96   87    0.58   0.03   5.98   0.15
 4075.648   6134.012    19.393    1.164    0.65   0.01   6.49   0.06   0.56  -34    0.64   0.01   5.36   0.05
 6274.231   5195.935   19.4323   1.1536    0.52   0.01   4.26   0.02   0.58   81    0.55   0.01   3.91   0.02
  5730.34   2067.918   19.4567   1.2194    0.64   0.01   6.62   0.07   0.82   46    0.55   0.01   5.15   0.04
 5078.738   4738.877   19.4851   1.1314    0.36   0.01   2.68   0.01   0.85   22    0.38   0.01   2.70   0.01
 4727.044   3231.579   19.5546   1.1838    0.68   0.01   3.32   0.02   0.49   38    0.63   0.01   2.82   0.02
 2697.524   7057.935   19.5886   1.1581    1.53   0.03   4.66   0.05   0.64  -46    1.22   0.02   3.99   0.04
 4662.146   8309.075   19.5986   1.1362	   0.60   0.01   4.07   0.03   0.47  -13    0.72   0.01   4.62   0.04
  6307.55   4364.626   19.7083   1.1446    0.82   0.01   3.69	0.02   0.38   18    0.74   0.01   3.05   0.02
 4829.437   5582.696   19.7113   1.1544    0.85   0.01   3.09   0.02   0.52  -13    0.85   0.01   2.53   0.02
 5804.909   1677.859   19.7164   1.1385    0.91	  0.03   5.61   0.11   0.41  -79    0.81   0.01   4.71   0.04
  3044.36   7852.623   19.7448   1.1098    0.51   0.02   6.19   0.17   0.53  -67    0.51   0.01   5.40   0.05
  5677.12   4685.883    19.773   1.1343    0.50   0.01   3.95   0.05   0.84   31    0.41   0.01   3.07   0.02
 5241.614   3339.149   19.8437   1.1345    0.51   0.01   3.94   0.04   0.80  -34    0.44   0.01   3.37   0.03
 2193.252   4361.844   19.8922   1.1509    0.33   0.01   3.61   0.04   0.73   52    0.35   0.01   3.26   0.01
 3856.903   8156.564    19.904   1.0827    1.68	  0.11   9.19   0.20   0.71  -72    1.35   0.06   7.51   0.12
  4408.83   7199.212   19.9139   1.1431    1.95   0.12   7.77   0.16   0.94  -23    1.14   0.04   5.49   0.09
 5125.229   7800.028   19.9646   1.1109    2.02   0.10   6.05   0.11   0.73    1    1.06   0.02   4.27   0.05
 4641.567   5345.561    20.024   1.0995    0.61	  0.01   4.81   0.07   0.62   -7    0.44   0.01   3.46   0.08
 4003.109   2484.201   20.0301   1.1334    0.70   0.01   4.84   0.06   0.58  -86    0.52   0.01   3.43   0.03    
 2144.324   7096.062   20.0517   1.1277    0.21   0.01   4.29   0.03   0.44   73    0.23   0.01   5.11   0.04
 5789.331   2750.646   20.1241   1.1426    0.65   0.08   2.52   0.24   0.63   63    0.74   0.02   2.61   0.06
 6265.286    4465.17   20.1672   1.0686    0.56   0.01   4.25   0.04   0.45  -75    0.51   0.01   3.51   0.03 
 4544.753    5430.88   20.2082   1.1138    0.35   0.01   4.26   0.05   0.73  -29    0.36   0.01   4.09   0.05
 2278.567    4293.39   20.2422   1.1033    0.36   0.01   4.15   0.11   0.56   81    0.38   0.01   3.85   0.08
 5113.086   4047.319   20.2422   1.0754    0.89   0.02   4.23   0.06   0.33  -48    0.85   0.02   3.84   0.06
 6420.522   6984.902   20.3037   1.1044    1.06   0.04   4.45   0.08   0.59   86    0.60   0.01   2.92   0.03
 3794.554   6026.385   20.3093   1.0605    0.38   0.01   2.32   0.01   0.63  -69    0.37   0.01   2.01   0.01
