 871.0  835.1  19.57  1.12  7.1   1.4   6.5  0.4  0.53  20   19.5  11.1  6.5  0.9  
1134.3  307.3  20.87  1.05  0.36  0.01  4.4  0.2  0.76  48   0.53  0.09  4.3  0.4
 858.9  878.5  21.45  1.12  0.14  0.01  2.2  0.3  0.77 -77   0.28  0.04  2.7  0.3
1139.6  705.6  21.47  1.35  0.30  0.02  4.8  0.3  0.69 -46   0.48  0.10  4.3  0.6
1092.5 1322.2  21.49  0.96  0.59  0.01  2.0  0.1  0.31   5   0.74  0.07  1.7  0.2
 851.4  885.2  21.58  1.16  0.09  0.01  3.8  0.5  0.24 -32   0.25  0.03  3.6  0.4
 656.7 1003.0  21.90  1.30  0.18  0.01  1.4  0.1  0.67 -23   0.16  0.01  1.1  0.1
 731.1  903.2  22.30  1.29  0.10  0.01  2.1  0.4  0.20   5   0.12  0.01  2.3  0.4
 126.8 1433.0  22.36  1.01  0.10  0.01  2.6  0.2  0.63  88   0.31  0.14  8.0  2.1
 972.0  870.2  22.48  1.32  0.11  0.01  1.8  0.2  0.61   0   0.10  0.01  1.8  0.5
 920.1  827.6  22.51  1.06  0.21  0.01  1.4  0.3  0.48  68   0.21  0.02  1.1  0.2
 778.3 1095.8  22.52  0.91  0.45  0.02  0.6  0.1  0.23 -74   0.78  0.05  0.9  0.1
 908.3  380.9  22.57  1.17  0.11  0.01  2.5  0.2  0.70  -9   0.24  0.07  4.7  1.1
 655.1  996.6  22.57  0.89  0.24  0.01  1.8  0.1  0.80   4   0.44  0.04  2.1  0.2
1053.3  465.2  22.63  1.22  0.39  0.01  0.7  0.1  0.22  -9   0.32  0.02  0.9  0.1
 751.6  848.6  22.71  1.21  0.09  0.01  0.3  0.1  0.45  62   0.09  0.01  2.4  0.6
 942.6  654.0  22.88  0.84  0.21  0.01  0.6  0.1  0.52 -76   0.25  0.02  0.8  0.2
 711.6 1021.8  23.21  1.26  0.11  0.01  1.1  0.4  0.44 -54   0.15  0.02  1.3  0.5
 652.5  675.2  23.49  0.92  0.25  0.01  0.9  0.2  0.44 -81   0.32  0.05  1.1  0.3
