 4951.454   4869.221   18.3162   1.2444    5.26  0.06  3.48   0.02   0.52   -74     3.99   0.07   3.48   0.03
 3217.949   4252.675   18.5968   1.3684    0.82  0.01  2.39   0.01   0.82   -61     0.75   0.01   2.12   0.01
 5169.609   6490.005   18.7613   1.3703    0.93  0.01  4.25   0.02   0.67   -15     0.90   0.02   3.98   0.04
 4391.729   5757.626   18.9652    1.279    1.61  0.04  6.82   0.07   0.59   -44     5.80   0.54   9.23   0.23
 6269.945   5970.358   19.0274   1.2617    0.57  0.01  3.30   0.01   0.67   -45     0.60   0.01   3.19   0.03
 7596.462   4311.559   19.1049   1.2876    1.52  0.02  6.81   0.04   0.40   -28     1.12   0.06   5.92   0.13
 6685.192   4083.726   19.1281   1.3315    0.98  0.01  5.44   0.03   0.86    37     1.16   0.04   5.77   0.08
 5516.439    4238.44   19.1523    1.218    1.74  0.02  3.19   0.02   0.38   -55     2.57   0.08   3.27   0.05
 3003.179    4771.91   19.2186   1.3568    0.45  0.01  4.10   0.02   0.62   -82     0.48   0.01   4.21   0.04
 6157.164   6368.765   19.2479   1.3635    0.67  0.01  5.18   0.02   0.79   -32     0.59   0.01   4.54   0.05
 4042.414   6606.978   19.3354   1.2316    1.45  0.01  2.41   0.01   0.49   -36     2.46   0.07   3.30   0.05
 4300.837   4437.054   19.3775   1.3641    0.74  0.01  4.85   0.02   0.94    -4     0.54   0.01   3.68   0.04
 5545.642   5019.369   19.4079   1.3559    3.36  0.17  5.35   0.11   0.60    16     2.21   0.22   4.50   0.20
 6958.594   4187.261   19.5546   1.2253    0.52  0.01  4.73   0.02   0.74   -59     0.62   0.01   5.08   0.07
 4091.507   6796.121   19.5684   1.3359    0.56  0.01  5.45   0.02   0.74   -31     0.61   0.03   5.79   0.13
 5168.472   5157.035   19.6429    1.227    0.51  0.01  5.21   0.03   0.85    16     0.45   0.01   4.41   0.08
 3522.002    5122.33   19.7217   1.3199    0.43  0.01  4.02   0.01   0.60     4     0.45   0.01   3.88   0.05
 4186.621   4259.579    19.737   1.3041    0.25  0.01  3.63   0.01   0.93   -15     0.33   0.01   4.55   0.06   
 6826.261   6197.668   19.8514    1.105    1.43  0.04  7.33   0.09   0.58     7     1.68   0.10   7.49   0.16
 4667.552   7373.312   19.8794   1.3806    0.55  0.01  3.66   0.02   0.73   -62     1.38   0.09   5.62   0.15
 4684.099   7624.055   19.9039   1.1458    0.63  0.01  2.76   0.01   0.48   -31     1.05   0.04   4.09   0.07
 2911.639   4883.217   20.1024   1.3478    0.68  0.01  6.14   0.06   0.63   -66     0.69   0.03   5.91   0.14
 4770.633   5756.813   20.1113   1.3763    0.36  0.01  4.91   0.03   0.75   -27     0.73   0.06   7.38   0.26
 6693.971   5156.859    20.151   1.2623    0.39  0.01  3.10   0.01   0.27   -46     0.52   0.01   4.21   0.07
 4655.847     3226.8   20.1734   1.1024    0.73  0.01  6.49   0.06   0.77   -48     0.73   0.03   5.43   0.12
 5600.361   4766.507   20.2353    1.269    0.27  0.01  3.38   0.02   0.70   -46     0.24   0.01   2.49   0.03
 5264.415   5149.255   20.2948   1.2798    0.36  0.01  3.35   0.02   0.73    74     0.33   0.01   2.81   0.07
 5541.699   6578.218   20.3296   1.1636    0.55  0.01  2.05   0.01   0.23    84     0.73   0.01   3.03   0.05
 4718.476    3243.05   20.3404   1.2966    0.33  0.01  3.57   0.02   0.44    76     0.41   0.01   4.04   0.07
 3909.699   6108.842   20.4021     1.18    0.79  0.01  4.45   0.03   0.54    28     1.89   0.18   6.37   0.22
 4861.901   5013.945    20.412   1.2132    0.29  0.01  3.68   0.07   0.74   -30     0.29   0.01   3.72   0.10
 4658.901   5596.792    20.454   1.1762    0.36  0.01  3.51   0.04   0.88   -43     0.43   0.02   4.74   0.13
 4154.121   5442.348   20.4616   1.2914    0.27  0.01  3.64   0.02   0.84   -90     0.36   0.01   4.79   0.12
 3666.129   4490.358   20.4645   1.2719    0.23  0.01  3.88   0.04   0.94   -17     0.33   0.01   4.94   0.14
 4888.223   5120.123   20.5124   1.2631    0.24  0.01  2.66   0.01   0.55   -54     0.33   0.01   3.50   0.07
  5703.28   3101.703   20.5605   1.2783    0.40  0.01  5.97   0.10   0.87    77     0.61   0.07   6.59   0.33
  5301.24   3108.184   20.5666   1.1677    0.54  0.01  6.14   0.07   0.86   -38     0.60   0.02   5.76   0.24
 4884.241   4440.244   20.6365   1.2173    0.33  0.01  4.30   0.04   0.78    63     0.34   0.02   4.18   0.13
 5670.984   5069.155   20.6606   1.2069    0.17  0.01  3.41   0.03   0.75   -70     0.19   0.01   4.62   0.14
 5255.623   4336.521   20.6756    1.223    0.35  0.01  2.61   0.01   0.39   -17     0.38   0.01   2.87   0.07
 3747.772   4876.886   20.7103   1.2921    0.14  0.01  2.45   0.02   0.84   -65     0.17   0.01   2.97   0.05
 5491.972   5097.759   20.7177   1.2192    0.25  0.01  2.89   0.07   0.67   -26     0.23   0.02   3.22   0.21
 4680.677   4821.207   20.7255   1.3412    0.50  0.02  5.00   0.15   0.66    55     0.55   0.03   4.68   0.16
 4129.405   4532.021   20.7396   1.2765    0.45  0.01  4.26   0.06   0.80    27     0.88   0.04   5.91   0.28 
 6918.495   5355.312   20.7769   1.2461    0.24  0.01  2.41   0.01   0.57   -35     0.27   0.01   2.81   0.05
 5628.053   5205.164   20.7982   1.2684    0.14  0.01  2.64   0.02   0.95    67     0.20   0.01   5.18   0.18
 3975.068    5195.99   20.8553   1.3101    0.16  0.01  2.62   0.04   0.43   -24     0.18   0.01   2.77   0.04
  7682.37   4298.517   20.8568   1.2174    0.18  0.02  2.76   0.02   0.65   -64     0.21   0.01   2.95   0.06
 4641.739   4523.099   20.8678   1.1994    0.19  0.01  4.56   0.05   0.64    34     0.19   0.01   3.32   0.08
 7209.018   5051.414   20.8704   1.2353    0.25  0.01  2.45   0.01   0.31     6     0.30   0.01   3.13   0.06
 6485.734   4551.985   20.8978   1.2638    0.18  0.01  2.57   0.01   0.68    -9     0.22   0.01   3.37   0.09
 5826.667     5134.3   20.9119   1.2727    0.13  0.01  2.50   0.02   0.93   -73     0.15   0.01   2.70   0.05
 2734.238     3576.4   20.9484    1.143    0.41  0.01  5.00   0.06   0.85   -48     0.88   0.11   7.70   0.38
 3183.938   4573.872   21.0232   1.2611    0.19  0.01  2.56   0.01   0.74   -25     0.27   0.02   5.15   0.20
 4607.551   3023.312   21.0731   1.2705    0.24  0.01  4.31   0.07   0.93    16     0.28   0.02   5.38   0.23
 6707.189    4567.29   21.0747   1.2627    0.22  0.01  3.44   0.03   0.69    58     0.23   0.01   2.87   0.08
 5646.255   4669.645   21.0954   1.2779    0.25  0.01  3.81   0.07   0.54    10     0.35   0.03   4.81   0.22
 4043.478   5177.751   21.1307   1.1677    0.25  0.01  2.08   0.02   0.39   -42     0.33   0.01   3.49   0.10
 4639.048   4793.772   21.1384   1.2703    0.16  0.01  3.55   0.13   0.78    69     0.17   0.01   3.80   0.13
 6055.146   4067.791   21.1945   1.2253    0.16  0.01  2.40   0.02   0.62   -61     0.18   0.01   3.01   0.08
 4513.398   4682.955   21.2195   1.2452    0.18  0.01  1.90   0.01   0.82    -9     0.19   0.01   2.23   0.05
 7530.454   4535.019   21.2498    1.198    0.19  0.01  3.08   0.04   0.59     8     0.22   0.01   4.43   0.16
 6633.071   5861.771     21.29   1.0808    0.41  0.01  2.74   0.02   0.81   -14     1.11   0.15   5.72   0.32
 2800.854   5483.773   21.3002   1.1869    0.24  0.01  2.23   0.04   0.53    22     0.27   0.01   3.21   0.15
 4404.131    4249.75   21.3365    1.244    0.20  0.01  2.69   0.03   0.76    83     0.22   0.01   2.73   0.10
 4576.292   4974.757   21.3543   1.0857    0.30  0.01  1.62   0.01   0.87    45     0.34   0.01   2.01   0.08
 5931.297   5089.104   21.3836   1.1577    0.27  0.01  2.13   0.02   0.41   -30     0.30   0.01   2.60   0.11
  6266.36   2967.957   21.3971   1.2081    0.30  0.01  2.65   0.03   0.58   -53     0.30   0.01   2.25   0.09
 4298.071   5410.943   21.3994   1.0982    0.40  0.01  2.05   0.02   0.34   -13     0.60   0.03   3.05   0.11
