17.61 2.75485 2.79 5.05596 3.76
17.70 3.85679 4.50 5.12078 4.85
17.76 3.62992 3.57 8.55624 4.92
17.79 3.82438 4.30 4.8615 4.48
17.83 19.2515 8.41 26.8031 8.40
18.09 2.88449 3.61 3.27341 3.81
18.11 2.43075 2.83 2.52798 2.85
18.56 16.756 7.93 27.0948 8.34
18.58 5.05596 5.45 6.87092 5.93
18.63 18.5385 6.39 35.7806 6.16
18.67 5.8338 6.59 -32.3776 -9.99
18.69 1.87978 3.32 2.13906 3.57
18.75 2.43075 3.27 2.72244 3.36
18.76 2.23629 3.31 2.5928 3.23
18.79 2.17147 4.91 2.00942 4.50
19.05 9.00998 7.31 13.4502 7.27
19.10 3.17618 3.54 3.11136 3.01
19.22 8.03768 8.17 10.0471 8.81
19.37 1.32881 3.88 1.55568 3.87
19.38 3.62992 4.58 3.04654 3.68
19.39 1.26399 3.86 2.20388 5.18
19.46 3.92161 6.87 5.12078 6.85
19.46 3.07895 4.66 3.53269 5.14
19.47 1.19917 2.71 1.65291 3.22
19.53 1.23158 3.31 1.42604 3.35
19.57 0.84266 2.46 0.87507 2.32
19.65 5.5097 6.31 9.62577 7.05
19.68 1.36122 2.67 1.55568 2.88
19.89 0.77784 3.10 0.84266 4.23
19.91 0.93989 4.39 1.2964 4.62
19.95 2.46316 3.97 1.68532 2.01
19.98 0.93989 3.61 1.36122 4.45
20.07 1.9446 2.80 2.23629 3.48
20.09 3.37064 5.49 3.72715 5.00
20.13 2.85208 2.14 3.20859 2.18
20.18 0.87507 4.33 1.06953 4.46
20.21 4.69945 2.67 7.61635 3.29
20.23 2.30111 2.46 2.5928 2.57
20.27 1.00471 4.83 1.16676 4.30
20.35 2.07424 2.05 2.56039 2.42
20.36 2.9169 1.66 2.72244 1.52
20.40 1.03712 4.76 2.13906 7.75
20.52 3.30582 3.98 2.2687 2.97
20.53 1.13435 3.15 1.2964 3.10
20.60 1.45845 5.08 1.68532 4.87
20.62 1.9446 5.78 1.6205 5.09
20.72 0.9723 3.49 1.03712 3.17
20.75 1.9446 2.11 1.68532 1.74
20.77 1.78255 1.22 1.97701 1.44
20.80 1.55568 1.30 1.52327 1.32
20.84 2.69003 1.05 2.72244 1.07
20.90 0.84266 6.26 1.16676 7.33
20.90 1.2964 3.35 1.2964 3.14
20.91 2.69003 3.26 2.69003 3.03
20.93 3.241 2.65 -32.3776 -9.99
20.94 0.77784 1.91 0.87507 1.86
21.04 2.07424 4.12 2.2687 3.92
21.13 1.65291 1.84 1.39363 1.37
21.17 4.14848 3.83 2.85208 2.66
21.18 0.84266 2.19 0.71302 1.77
21.19 3.14377 2.94 2.00942 2.20
21.21 0.61579 3.31 0.61579 3.05
21.22 1.03712 1.69 1.03712 1.61
21.22 6.19031 2.56 8.71829 2.56
21.29 1.81496 1.38 1.91219 1.42
21.30 1.42604 1.55 1.49086 1.51
21.31 1.45845 2.07 2.72244 2.72
21.41 1.13435 1.69 1.16676 1.71
21.45 1.65291 1.66 1.39363 1.42
21.47 2.62521 2.89 -32.3776 -9.99
21.47 2.46316 1.66 2.33352 1.58
21.55 1.65291 1.16 1.55568 1.10
21.59 0.68061 2.39 0.68061 2.37
21.59 1.65291 1.22 1.65291 1.12
21.64 0.81025 4.21 1.19917 5.10
21.67 1.23158 3.01 1.97701 3.58
21.67 1.36122 2.85 1.39363 2.82
21.75 2.17147 2.31 3.53269 2.78
21.76 4.31053 1.89 5.05596 2.10
21.77 0.19446 1.63 0.29169 5.98
21.78 0.9723 2.34 1.16676 2.23
21.82 0.87507 1.68 0.81025 1.58
21.86 2.52798 0.96 3.30582 0.73
21.88 2.23629 2.16 -32.3776 -9.99
21.90 0.45374 2.06 0.45374 1.93
21.92 1.71773 2.10 2.2687 2.42
21.92 0.9723 1.89 1.03712 1.75
21.95 1.06953 1.04 1.75014 2.79
21.96 0.48615 1.85 0.55097 1.92
21.98 1.23158 1.23 1.23158 1.26
21.99 0.90748 4.38 0.87507 3.58
22.00 1.6205 1.34 1.87978 1.62
